title,price,rating,reviews,availability,colore,Dimensione prodotto,peso_articolo,link
"Smac Express - Sgrassatore Disinfettante, Detergente Spray Multisuperficie con Azione Sgrassante e Antibatterica, 650 ml x 2 Pezzi","3,10€",4.7,625.0,Generalmente  spedito entro 1-4 settimane,['bianco'],"‎19,8 x 6,1 x 30 cm; 1,43 Kg",,https://www.amazon.it/Smac-Express-Disinfettante-Multisuperficie-Antibatterica/dp/B08SXYZKZB/ref=sxin_17_pa_sp_search_thematic_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&content-id=amzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061%3Aamzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061&crid=JAY03S5DCEYW&cv_ct_cx=sgrassatori+spray&keywords=sgrassatori+spray&pd_rd_i=B08SXYZKZB&pd_rd_r=b2cae5be-dd41-4c56-8ff8-25943e961200&pd_rd_w=OR0xf&pd_rd_wg=tHeen&pf_rd_p=67a3e64a-7fcc-40cb-a348-256ff292c061&pf_rd_r=5VFE7EN8VK48M2D4RS9G&qid=1700829358&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sgrassatore+spray%2Caps%2C123&sr=1-148-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
"Smac Express - Sgrassatore Universale, Detergente Spray Multisuperficie con Azione Sgrassante e Tecnologia Zero Aloni, 650 ml x 12 Pezzi","18,60€",4.7,331.0,Disponibilità:  solo 7 -- ordina subito (ulteriori in arrivo).,[],"‎40,5 x 19,7 x 31,6 cm; 8,88 Kg",,https://www.amazon.it/Smac-Sgrassatore-Universale-Detergente-Multisuperficie/dp/B08VKBWXH8/ref=sxin_17_pa_sp_search_thematic_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&content-id=amzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061%3Aamzn1.sym.67a3e64a-7fcc-40cb-a348-256ff292c061&crid=JAY03S5DCEYW&cv_ct_cx=sgrassatori+spray&keywords=sgrassatori+spray&pd_rd_i=B08VKBWXH8&pd_rd_r=b2cae5be-dd41-4c56-8ff8-25943e961200&pd_rd_w=OR0xf&pd_rd_wg=tHeen&pf_rd_p=67a3e64a-7fcc-40cb-a348-256ff292c061&pf_rd_r=5VFE7EN8VK48M2D4RS9G&qid=1700829358&rdc=1&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=sgrassatore+spray%2Caps%2C123&sr=1-149-b1149505-6a8e-43e6-ad16-2b4f2671e365-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1
BOX ALGA BIO- 1 Sapone gel da 1250 ml-1 Sgrassatore Universale-1 Sapone Solido-1 Percarbonato di Sodio Attivato (4 Pezzi),"22,99€",4.1,13.0,Disponibilità immediata,['verde'],,400.0,https://www.amazon.it/Sgrassatore-Universale-1-Solido-1-Percarbonato-Attivato/dp/B0C34B4N7T/ref=sr_1_152?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-152
"MRS MEYER'S CLEAN DAY 1 Detersivo Piatti + 2 Sapone Liquido Mani, Fragranza Lavanda con Oli essenziali","6,99€",4.4,60.0,Disponibilità immediata,['nero'],"‎21 x 8 x 27 cm; 1,5 Kg",,https://www.amazon.it/Mrs-Meyers-Clean-Day-essenziali/dp/B08PQMK19G/ref=sr_1_153?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&rdc=1&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-153
"Multiaceto Aceto Naturale Con Aroma Al Limone – Metodo Ecologico Per Pulire E Disinfettare Superfici, Oggetti Alimentari – Antibatterico – Cura Farma 1 Dosatore + 2 Ricariche)","15,88€",2.6,5.0,Disponibilità: solo 10,['azzurro'],,,https://www.amazon.it/Multiaceto-Aceto-Naturale-Aroma-Limone/dp/B07PPB32V1/ref=sr_1_154?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-154
"Motorex “Chain Clean Degreaser” - Sgrassatore spray per catena, 500 ml","22,56€",4.6,62.0,Disponibilità: solo 1,"['bianco', 'blu']",,,https://www.amazon.it/MOTOREX-Chain-Clean-Degreaser-detergente/dp/B07KPQNWRR/ref=sr_1_155?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-155
"Napisan Spray Igienizzante Multisuperfici al Limone, Confezione da 12x750 ml di Igienizzante Spray Potere Sgrassante per l'Igiene delle Superfici della Cucina","€24,12",4.6,85.0,Not Available,['nero'],"‎35,6 x 23,3 x 29 cm; 9,4 Kg",,https://www.amazon.it/Napisan-Igienizzante-Multisuperfici-Sgrassante-Confezioni/dp/B078YL5T41/ref=sr_1_156?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-156
Svelto Power Spray Anti-Odore 435ml,"€3,18",4.4,9.0,Not Available,[],,,https://www.amazon.it/Svelto-Power-Spray-Anti-Odore-435ml/dp/B09V7TVSJN/ref=sr_1_157?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-157
Sgrassatore inox Spray - 500ml,"9,90€",3.9,32.0,Disponibilità immediata,['rosso'],‎7 x 6 x 25 cm; 500 grammi,500.0,https://www.amazon.it/Care-PROTECT-35602115-Sgrassatore-conservando/dp/B07YYLRXCH/ref=sr_1_158?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-158
"Vitroclen Spray detergente piastra induzione quotidiana protezione antigraffio e ultra lucente, 250 ml","8,07€",4.2,1114.0,Disponibilità immediata,[],,,https://www.amazon.it/Vitroclen-Pistola-induzione-250-confezione/dp/B082VVHM8T/ref=sr_1_159?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-159
