title,price,rating,reviews,availability,colore,Dimensione prodotto,peso_articolo,link
"Mellerud MEL0271 Sgrassatore Efficace Spray per Rimuovere Grasso e incrostazioni in Cucina e Molto Altro Ancora. -1 x 0,5 l","€6,99",4.4,1313.0,Not Available,['rosso'],"‎6 x 7,5 x 24 cm; 590 grammi",590.0,https://www.amazon.it/Mellerud-MEL0271-Sgrassatore-Rimuovere-incrostazioni/dp/B002S26TEE/ref=sr_1_181?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-181
"Smac Express Sgrassatore Cucina al Limone, Detergente Spray Multisuperficie con Azione Sgrassante, 650 ml x 12 Pezzi","41,49€",4.6,76.0,Disponibilità immediata,[],"‎40,5 x 19,7 x 31,6 cm; 8,94 Kg",,https://www.amazon.it/Sgrassatore-Limone-Smac-M74351-conf/dp/B00YHE5OTW/ref=sr_1_182?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-182
"Ace Spray Universale Ossigeno Attivo, 750ml",,4.6,55.0,Not Available,[],‎356 x 215 x 324 cm; 750 grammi,,https://www.amazon.it/Spray-Universale-Ossigeno-Attivo-750ml/dp/B093QQ3N9D/ref=sr_1_183?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-183
CARE + PROTECT Sgrassatore Spray per Microonde (500 ml),"€6,99",4.1,8.0,Not Available,[],‎7 x 6 x 25 cm; 580 grammi,,https://www.amazon.it/CARE-PROTECT-Sgrassatore-Spray-Microonde/dp/B072K2K9D9/ref=sr_1_184?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-184
Argonit Sgrassatore Igienizzante 750ml Detergente Sgrassante Detersivo Spray Superfici,"10,00€",4.2,7.0,Disponibilità: solo 3,['verde'],,,https://www.amazon.it/Sgrassatore-Igienizzante-Detergente-Sgrassante-Detersivo/dp/B01AXWD4X4/ref=sr_1_185?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-185
Gomito Grasso 4x500ml multiuso cucina lavanderia casa sgrassatore spray,"10,44€",4.6,517.0,Disponibilità immediata,[],,,https://www.amazon.it/Gomito-4x500ml-multiuso-lavanderia-sgrassatore/dp/B014VAG8H8/ref=sr_1_186?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-186
AJAX Spray Sgrassatore Universale 500 Ml Tutto in 1,"€1,99",4.0,1.0,Not Available,[],,,https://www.amazon.it/AJAX-Spray-Sgrassatore-Universale-Tutto/dp/B08XW3BWPP/ref=sr_1_187?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-187
LIQUI MOLY Detergente per vano motore | 400 ml | Cura della macchina | SKU: 3326,,4.3,1227.0,Not Available,['nero'],"‎6,6 x 6,6 x 19,9 cm; 304 grammi",,https://www.amazon.it/Liqui-Moly-3326-Detergente-Motore/dp/B00295DCVS/ref=sr_1_188?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-188
Oven Stanhome Pulitore Spray Per Forno - 3 Confezioni,"27,33€",4.6,140.0,Disponibilità: solo 5,[],‎7 x 21 x 20 cm; 500 grammi,,https://www.amazon.it/Oven-Stanhome-Pulitore-Spray-Forno/dp/B09BMGBSQ2/ref=sr_1_189?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-189
"Citrosil Home Protection - Sgrassatore Disinfettante Univerale Essenza di Limone 650 ml + Spray Igienizzante Superfici Multiuso Essenza di Tea Tree, Elimina Germi e Batteri, 650 ml","11,77€",,,Disponibilità: solo 9,[],"‎12 x 9,9 x 30 cm; 1,43 Kg",,https://www.amazon.it/Citrosil-Home-Protection-Disinfettante-Igienizzante/dp/B0BG2RNZKK/ref=sr_1_190?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-190
"SGRASSATORE SPRAY 750 ml universale Profumo di MARSIGLIA PERLA, Superpotente Su Ogni Tipo di Sporco Igienizzante con Azione Sgrassante e Sanificante Casa Universale su tutte le superfici.","1,69€",,,Disponibilità immediata,['bianco'],,,https://www.amazon.it/SGRASSATORE-universale-Superpotente-Igienizzante-Sanificante/dp/B0933MKPW6/ref=sr_1_191?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-191
16 x 151 elbow grease Original multiuso sgrassatore detergente spray tessuto metallo 500 ml,"13,20€",4.6,6103.0,Disponibilità immediata,[],‎8 x 5 x 15 cm; 500 grammi,500.0,https://www.amazon.it/151-elbow-Original-multiuso-sgrassatore-detergente/dp/B07HRWGWWB/ref=sr_1_192?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-192
"6 X ACE Spray Candeggina, Sgrassatore candeggina, detergente sgrassante 650 ML","29,90€",,,Generalmente  spedito entro 3-4 giorni,[],,,https://www.amazon.it/ACE-Candeggina-Sgrassatore-candeggina-detergente/dp/B07HY4NR2X/ref=sr_1_193?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-193
1 PZ ALBA SGRASSATORE MULTIUSO ECOLOGICO,"9,64€",4.5,29.0,Disponibilità immediata,[],,,https://www.amazon.it/PZ-ALBA-SGRASSATORE-MULTIUSO-ECOLOGICO/dp/B09QD6HJ8W/ref=sr_1_194?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-194
"Bardahl - Detergente Freni, Pulizia Impianto Frenante Tamburo o Disco, Pulitore per Freni in Spray, Contribuisce a Ridurre l’eventuale Rumore dei Freni, 600ml","12,50€",4.5,86.0,Disponibilità immediata,['nero'],"‎2,9 x 3,9 x 14,9 cm; 20,5 grammi",,https://www.amazon.it/Bardahl-Brake-Parts-Cleaner-Pulitore/dp/B00GA0EKGO/ref=sr_1_195?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-195
"Ace Spray Universale, Cartone da 3 TRIPACCHI - 9 Spray x 800 ml","26,91€",5.0,2.0,Disponibilità: solo 4,[],,,https://www.amazon.it/Ace-Spray-Universale-Cartone-TRIPACCHI/dp/B09GRHKCMK/ref=sr_1_196?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-196
12 x CHANTECLAIR Sgrassatore Spray Universale Limone 850 Ml,"36,00€",,,Disponibilità immediata,[],,970.0,https://www.amazon.it/CHANTECLAIR-Sgrassatore-Spray-Universale-Limone/dp/B01CNOJ7PY/ref=sr_1_197?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-197
"Chicco Spray Multisuperfici senza Profumo con Ingredienti Naturali, 0 Mesi+ - 500 ml","3,39€",4.6,65.0,Disponibilità immediata,['verde'],‎10 x 5 x 25 cm; 570 grammi,,https://www.amazon.it/Chicco-Multisuperfici-Profumo-Ingredienti-Naturali/dp/B07ZKD8GM1/ref=sr_1_198?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&rdc=1&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-198
"Camp FIRE CLEAN, Pulitore concentrato per vetroceramica, termocamini, camini e stufe","9,80€",3.8,56.0,Disponibilità immediata,['rosso'],‎10 x 5 x 30 cm; 300 grammi,,https://www.amazon.it/detergente-pulizia-camini-barbecue-generale/dp/B01F3JJDUA/ref=sr_1_199?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&rdc=1&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-199
"Chanteclair Sgrassatore con candeggina, 625 ML","€1,99",4.6,3.0,Not Available,[],,,https://www.amazon.it/Chanteclair-Sgrassatore-candeggina-625-ML/dp/B01C32YOIQ/ref=sr_1_200?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-200
"HG Detergente per Forni, Grill e Barbecue, Rimuove Velocemente Cibo Grasso e Bruciato da Cucina e Spazi Esterni (500 ml) - 138050108","6,99€",3.9,83.0,Disponibilità immediata,[],"‎6,7 x 6,7 x 24,9 cm; 570 grammi",,https://www.amazon.it/HG-detergente-forni-grill-barbecue/dp/B00DT1DWTI/ref=sr_1_201?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-201
Cillit Bang Sgrassatore potente Spray 750 ml – Set di 3,"25,31€",4.6,270.0,Disponibilità: solo 4,[],"‎9,6 x 6,4 x 28,8 cm; 2,15 Kg",,https://www.amazon.it/Cillit-Bang-Sgrassatore-potente-Spray/dp/B01K1P3O4W/ref=sr_1_202?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-202
"Citrosil Home Protection - Spray Disinfettante con Vere Essenze di Agrumi, Superfici Multiuso, Elimina Fino al 99,9% dei Batteri, 300 ml",,4.6,4558.0,Not Available,"['giallo', 'blu']","‎6,5 x 6,5 x 20,1 cm; 280 grammi",,https://www.amazon.it/Citrosil-Home-Protection-disinfettante-Chirurgico/dp/B0761SHQYR/ref=sr_1_203?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-203
"Sanitec, Blu Wc Gel, Detergente Disincrostante in Gel Efficace al 100%, Sbianca, Smacchia e Deodora per una Igiene Profonda del WC, Rimuove Facilmente lo Sporco, Made in Italy, 12 Flaconi da 750 ml","48,00€",5.0,1.0,Disponibilità immediata,['blu'],,,https://www.amazon.it/Detergente-Disincrostante-Efficace-Smacchia-Facilmente/dp/B0B9HHLGMZ/ref=sr_1_204_sspa?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=JAY03S5DCEYW&keywords=sgrassatori+spray&qid=1700829358&sprefix=sgrassatore+spray%2Caps%2C123&sr=8-204-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1
